logFC	logCPM	PValue	FDR
PdomMRNA08038.1	0.703150337818454	6.49436791284031	0.000127831242208995	0.0186986251534674
PdomMRNA06348.1	1.57214271054368	6.25903993091601	0.000132678275930365	0.0189649097442545
PdomMRNA02979.1	-0.790853253498399	7.16189614591366	0.000134122416861772	0.0189649097442545
PdomMRNA09382.1	0.66717030858466	7.56443624723181	0.000145297345533671	0.0202082406476667
PdomMRNA05050.1	-0.799535105547037	6.47285108365092	0.000155092603407619	0.0212226717308103
PdomMRNA04292.1	-0.7666017222052	5.31220046590471	0.000164858206513684	0.0221936284713842
PdomMRNA09469.1	1.23640943464897	6.17412835585236	0.000167420111052403	0.0221936284713842
PdomMRNA00958.1	0.838418472986915	7.29172413877036	0.000170895583224288	0.0223058173549978
PdomMRNA00797.1	2.02618657010825	1.85374362872847	0.000195293189715266	0.0251040518415805
PdomMRNA05096.2	-2.0535064424524	1.54619780509917	0.000204422357765814	0.025885362437092
PdomMRNA10443.1	-3.4418104072589	1.76172886179477	0.000216952626988978	0.0270680306966836
PdomMRNA07709.1	0.955827601344734	5.8692232713637	0.000221611216098232	0.0272485443098174
PdomMRNA03301.1	0.947008218601538	8.08877174507944	0.000231488231285137	0.0279388638624067
PdomMRNA04426.1	0.653716321529758	6.95802006970398	0.000233811802714624	0.0279388638624067
PdomMRNA07228.1	-3.70390600277883	1.65255837176939	0.000249151209814158	0.029358317556435
PdomMRNA07711.1	-0.947546199364936	4.51859586860756	0.000263277496415631	0.0303742815878185
PdomMRNA02532.1	-1.07647556028552	4.09271344091554	0.000264933620638681	0.0303742815878185
PdomMRNA10612.1	1.425408346772	4.4104906189455	0.000288797159976611	0.0326687347365542
PdomMRNA03709.1	-0.976431563399452	4.33311646622071	0.000310291037066066	0.0346382784009014
PdomMRNA01920.1	-2.25708504063083	1.90475034848958	0.000320925722631187	0.035360179620818
PdomMRNA05714.1	1.36878810082686	6.14854901035625	0.000327489126239785	0.0356207403463889
PdomMRNA08391.1	0.774797290167909	9.88419216386767	0.000355202663842204	0.038146068354902
PdomMRNA09606.1	1.83510145825806	2.53294442882871	0.000368729464504235	0.0391037597106741
PdomMRNA06714.1	-0.954328674892032	5.14108499081285	0.000387398724104833	0.0405764293247581
PdomMRNA05824.1	-1.03741170546249	6.59274021618016	0.000400839531809577	0.0414722266813713
PdomMRNA04180.1	-1.07417719608221	4.45407528245019	0.000418888285152456	0.0424500840929203
PdomMRNA03120.1	0.620322915858574	6.83680155997184	0.000420297862306142	0.0424500840929203
PdomMRNA08270.1	-0.744486519919286	6.99672640519028	0.000427482759536677	0.0426678086106961
PdomMRNA05601.1	1.59655092064682	8.19886135069109	0.0004403992368801	0.0434458968103578
PdomMRNA06213.1	2.72714069682234	1.2188193245202	0.000470838937109656	0.0459149142809003
PdomMRNA01962.1	-0.729660998582445	7.19222920356833	0.000482669896248447	0.046533765906498
PdomMRNA00028.1	0.898429865537902	8.75862279221426	0.0005112621445702	0.0487364947700402
PdomMRNA06924.1	0.979332224333423	7.00139192972572	0.000527432528934174	0.0497193063941948
