"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA00157.1"	995.2	697	701
"PdomMRNA00158.1"	2372.4	1390.4	1363.75
"PdomMRNA00159.1"	1740.8	700	1238.75
"PdomMRNA00160.1"	4398	3308.4	3124
"PdomMRNA00161.1"	174.8	95.8	97
"PdomMRNA00162.1"	252	189	159.75
"PdomMRNA00163.1"	1333.6	978.8	845.5
"PdomMRNA00164.1"	215	208.4	159.25
"PdomMRNA00166.1"	2937.8	1617.2	1678.75
"PdomMRNA00167.1"	3192.8	2193.8	2453.75
"PdomMRNA00168.1"	3951	2057.8	2105
"PdomMRNA00169.1"	518.2	453.2	398.25
"PdomMRNA00170.1"	3685.2	2580.8	2316.25
"PdomMRNA00171.1"	948.8	591	597.25
"PdomMRNA00172.1"	1685.6	1298	1370.75
"PdomMRNA00173.1"	2136.4	1467.2	1608.5
"PdomMRNA00174.1"	1279.6	176.6	301.25
"PdomMRNA00175.1"	4087.2	2779.4	2306
"PdomMRNA00176.1"	608.8	465.2	458.75
"PdomMRNA00177.1"	888.4	350.6	436.5
"PdomMRNA00178.1"	285.4	211.2	342.25
"PdomMRNA00181.1"	170.6	7.4	140.75
"PdomMRNA00183.1"	2798.8	1530.2	1758.25
"PdomMRNA00184.1"	5428.4	4679.6	4035.75
"PdomMRNA00185.1"	421	351.4	358.75
"PdomMRNA00186.1"	1396.6	951.6	1031.75
"PdomMRNA00187.1"	1843.8	923.6	1095.25
"PdomMRNA00192.1"	1520.4	1213.8	1091.75
"PdomMRNA00193.1"	1962	2506	2477.25
"PdomMRNA00195.1"	553.6	182	169.75
"PdomMRNA00196.1"	299	459.6	571.5
"PdomMRNA00197.1"	468	314.6	403.25
"PdomMRNA00198.1"	440	238.2	235.75
"PdomMRNA00199.1"	490.4	394.8	449.75
"PdomMRNA00200.1"	654.4	760.2	2138
"PdomMRNA00205.1"	333.8	269.2	297.75
"PdomMRNA00206.1"	259.4	146.4	160
"PdomMRNA00207.1"	1029	533.6	562.75
"PdomMRNA00208.1"	823.6	526.6	557.75
"PdomMRNA00209.1"	2892.8	2306.6	2153.25
"PdomMRNA00210.1"	864.2	506.6	558.25
"PdomMRNA00211.1"	134	89.8	75
"PdomMRNA00212.1"	352.8	173	168
"PdomMRNA00214.1"	1110.6	631.6	673
"PdomMRNA00220.1"	864.2	577.6	596.5
"PdomMRNA00221.1"	89.4	37.4	82.25
"PdomMRNA00225.1"	1770.6	1031.2	1252.75
"PdomMRNA00226.1"	754.8	500.8	485
"PdomMRNA00227.1"	517.8	412	309.5
"PdomMRNA00228.1"	12353	4275.2	6495.5
"PdomMRNA00229.1"	662.6	460.2	438.25
"PdomMRNA00230.1"	1148.2	905	779.25
"PdomMRNA00231.1"	3450.2	2645.6	2417.25
"PdomMRNA00232.1"	561.6	293.4	384.25
"PdomMRNA00233.1"	8010.8	2991.2	6191.75
"PdomMRNA00235.1"	4299.4	2431.4	2865
"PdomMRNA00236.1"	513.2	402	337.25
"PdomMRNA00238.1"	535.6	792.4	767
"PdomMRNA00239.1"	2018.6	1423.2	1421
"PdomMRNA00240.1"	1590.8	1108.2	1261.5
"PdomMRNA00241.1"	305	269.8	235.5
"PdomMRNA00242.1"	3312.2	2208.6	2338.75
"PdomMRNA00243.1"	1495.6	911.6	875.25
"PdomMRNA00244.1"	1220.2	1010.4	912
"PdomMRNA00246.1"	127.2	62.4	56
"PdomMRNA00247.1"	2486.6	1688.6	1583.75
"PdomMRNA00248.1"	1086.2	702.2	749.75
"PdomMRNA00249.1"	559.8	426.2	386
"PdomMRNA00250.1"	494.4	220.4	209
"PdomMRNA00252.1"	77.8	55.2	49.25
"PdomMRNA00253.1"	2159.6	1209.4	1248.75
"PdomMRNA00254.1"	668	511.4	525.5
"PdomMRNA00255.1"	283.6	169.2	124.75
"PdomMRNA00258.1"	38	19.8	44.25
"PdomMRNA00260.1"	24.8	107.8	119.25
"PdomMRNA00261.1"	4624.8	3088.4	2890.25
"PdomMRNA00262.1"	542	370.8	446.75
"PdomMRNA00263.1"	3248.6	2317	2082
"PdomMRNA00264.1"	1345	1093.8	1031.25
"PdomMRNA00265.1"	492.8	300.8	262.5
"PdomMRNA00266.1"	4698	2944	3053.75
"PdomMRNA00267.1"	2327.8	1347.8	1312
"PdomMRNA00268.1"	1926	1337.8	1223.5
"PdomMRNA00269.1"	673	455.8	512.5
"PdomMRNA00270.1"	1007.8	710.4	653
"PdomMRNA00271.1"	7641.4	3627	4869.25
"PdomMRNA00272.1"	479.8	397.4	408.25
"PdomMRNA00273.1"	6142.4	3158.6	3403.5
"PdomMRNA00274.1"	1802.2	1623.4	1355.25
"PdomMRNA00275.1"	546.8	403.8	445.75
"PdomMRNA00276.1"	834.8	497	507.25
"PdomMRNA00277.1"	1566.4	963.6	800.75
"PdomMRNA00278.1"	29.8	0.8	44
"PdomMRNA00279.1"	1417	1034.4	1148.5
"PdomMRNA00280.1"	2563.6	1612.2	1731.5
"PdomMRNA00281.1"	648	476.2	435.75
"PdomMRNA00282.1"	286.2	196.8	178.25
"PdomMRNA00283.1"	519.6	386.8	373.5
"PdomMRNA00284.1"	492	322.4	230.75
"PdomMRNA00286.1"	43.6	45.6	39.75
"PdomMRNA00288.1"	74.4	56.2	32.75
"PdomMRNA00289.1"	3996.4	2280.4	2819.75
"PdomMRNA00291.1"	911.6	704.2	666.5
"PdomMRNA00293.1"	3379	2955.8	2346.75
"PdomMRNA00294.1"	1961	1282.4	1177.5
"PdomMRNA00295.1"	42579.2	21199	28872.75
"PdomMRNA00296.1"	3884.8	2714.8	2775
"PdomMRNA00298.1"	8978.2	4608.8	5134.25
"PdomMRNA00300.1"	2063.2	1077.2	1082.5
"PdomMRNA00303.1"	305.2	189.4	176.75
"PdomMRNA00304.1"	73.2	28.6	21
"PdomMRNA00305.1"	2407.2	1304.6	1569.75
"PdomMRNA00306.1"	3954.6	2580	3039.25
"PdomMRNA00307.1"	5099.2	4124.4	3683.75
"PdomMRNA00308.1"	2462.6	2266	2487.75
"PdomMRNA00309.1"	233.8	155.8	198.25
"PdomMRNA00311.1"	109.4	79.4	56.25
"PdomMRNA00312.1"	2118.2	1617.4	1478.75
"PdomMRNA00313.1"	2544.4	1932	2007.25
"PdomMRNA00314.1"	776.6	552	568.75
"PdomMRNA00315.1"	96.2	136.2	129
"PdomMRNA00316.1"	280.4	191.6	244.75
"PdomMRNA00318.1"	3164.4	2056.4	2294.25
"PdomMRNA00321.1"	4298.4	2602	2519.5
"PdomMRNA00323.1"	1915	1218.4	1279.25
"PdomMRNA00324.1"	2661.4	1799.6	2012.25
"PdomMRNA00326.1"	4476.2	2910.8	3265.5
"PdomMRNA00327.1"	12150.6	7109.2	6996.5
"PdomMRNA00329.1"	4101.2	2905.2	2862.25
"PdomMRNA00330.1"	388.6	143	402
"PdomMRNA00331.1"	2501.4	1855.4	1962.75
"PdomMRNA00332.1"	330.6	152.6	122
"PdomMRNA00333.1"	62.6	41	38
"PdomMRNA00334.1"	628.6	316.6	312
"PdomMRNA00335.1"	13217.6	10632	10484.5
"PdomMRNA00336.1"	10421.4	8671.2	8253.75
"PdomMRNA00338.1"	3129.4	1753.2	1835.5
"PdomMRNA00339.1"	160	162.8	148.5
"PdomMRNA00340.1"	854.6	631.6	692.5
"PdomMRNA00341.1"	2891.6	1809.4	1893.5
"PdomMRNA00342.1"	3354.2	2618.6	2490.5
"PdomMRNA00343.1"	2948.2	1877.2	1742.75
"PdomMRNA00344.1"	5316	3822.6	3760.75
"PdomMRNA00345.1"	1050.4	771.6	881
"PdomMRNA00346.1"	2100.6	1500.2	1362.5
"PdomMRNA00347.1"	505.2	395.4	362.25
"PdomMRNA00348.1"	507.2	230.6	269.25
"PdomMRNA00354.1"	47.6	14	27
"PdomMRNA00355.1"	712.6	731.8	533.25
"PdomMRNA00356.1"	183.6	200.8	139.5
"PdomMRNA00357.1"	5575.8	5906.4	5356
"PdomMRNA00359.1"	490	379.4	429.5
"PdomMRNA00362.1"	975.4	631.6	560
"PdomMRNA00364.1"	10255	6356	6519.5
"PdomMRNA00366.1"	2281.6	1348.2	1419
"PdomMRNA00367.1"	1621.2	904.2	936.5
"PdomMRNA00371.1"	3564.6	2336	2386.5
"PdomMRNA00373.1"	47.6	20.2	24.75
"PdomMRNA00374.1"	888.2	225.2	6820.75
"PdomMRNA00375.1"	410	236.6	290.5
"PdomMRNA00388.1"	1178.8	926.2	798.75
"PdomMRNA00389.1"	33.2	50	42.25
"PdomMRNA00392.1"	952.4	833.2	795.5
"PdomMRNA00393.1"	682.2	550.4	504.75
"PdomMRNA00394.1"	851.6	625.6	666.75
"PdomMRNA00395.1"	274.6	163.4	189.25
"PdomMRNA00397.1"	729.6	456.4	435.25
"PdomMRNA00398.1"	1475.6	926.6	1038.25
"PdomMRNA00400.1"	1835	937.2	1013.25
"PdomMRNA00401.1"	150	78	77.25
"PdomMRNA00402.1"	892.8	738	704.5
"PdomMRNA00403.1"	1248.6	953.2	909.5
"PdomMRNA00404.1"	2301.8	1420	1318.75
"PdomMRNA00406.1"	3049.8	2380.8	2251.25
"PdomMRNA00407.1"	3403	2364	2358.5
"PdomMRNA00408.1"	554.6	391	400.5
"PdomMRNA00409.1"	702.2	285.8	481.75
"PdomMRNA00410.1"	356.4	316.2	164.25
"PdomMRNA00411.1"	858.4	500.4	496.5
"PdomMRNA00412.1"	2816.2	2061	1884.25
"PdomMRNA00413.1"	6547	3898.6	4321
"PdomMRNA00414.1"	9915.6	6478.2	5695.25
"PdomMRNA00414.2"	919.8	711.4	671
"PdomMRNA00415.1"	582.4	364	332.75
"PdomMRNA00417.1"	621.2	428.4	449.75
"PdomMRNA00418.1"	927.8	651.2	607.5
"PdomMRNA00420.1"	3504.4	2163	2729
"PdomMRNA00421.1"	1827	1504.6	1519.25
"PdomMRNA00422.1"	3796.8	2188.6	2533.75
"PdomMRNA00423.1"	665.6	468	511.75
"PdomMRNA00424.1"	564.4	375.4	385.25
"PdomMRNA00425.1"	6185.6	3894	3949.5
"PdomMRNA00426.1"	3402.4	1920.6	1835.25
"PdomMRNA00427.1"	953.8	786	810.25
"PdomMRNA00428.1"	1043.2	892	807
"PdomMRNA00430.1"	666.8	400.2	317.75
"PdomMRNA00431.1"	236	227.6	218.5
"PdomMRNA00432.1"	1538.4	984.4	907.75
"PdomMRNA00433.1"	3391.6	2146	2267.75
"PdomMRNA00434.1"	1973.8	1373.8	1257.25
"PdomMRNA00435.1"	1041.8	429.2	531.75
"PdomMRNA00436.1"	1073.2	675.8	627.25
"PdomMRNA00437.1"	1572.8	1215.2	1162.5
"PdomMRNA00438.1"	5582.6	3673.2	3230
"PdomMRNA00439.1"	91.6	58.8	71.5
"PdomMRNA00441.1"	973.8	564.8	558
"PdomMRNA00442.1"	6607	3733.8	3748.5
"PdomMRNA00443.1"	4372.4	3490	3595
"PdomMRNA00444.1"	248.6	211	173.75
"PdomMRNA00445.1"	1155.2	874.2	906.75
"PdomMRNA00446.1"	2299.4	1267.2	1535
"PdomMRNA00447.1"	92.2	74	77.75
"PdomMRNA00448.1"	2700.8	1980	2133.5
"PdomMRNA00450.1"	4030.4	2971.2	2968.5
"PdomMRNA00453.1"	225.6	179.2	171
"PdomMRNA00454.1"	805.4	600.4	525
"PdomMRNA00456.1"	1717.6	1043	1119
"PdomMRNA00457.1"	1974.2	1508.2	1461.25
"PdomMRNA00458.1"	3039	2047.6	1947.25
"PdomMRNA00459.1"	7177.6	4536	4416.5
"PdomMRNA00460.1"	459.4	299.4	333.75
"PdomMRNA00461.1"	327.8	173.8	185.25
"PdomMRNA00463.1"	699.2	517.8	407
"PdomMRNA00464.1"	161.4	108.8	118.25
"PdomMRNA00465.1"	755.4	633.4	545.5
"PdomMRNA00466.1"	216.4	200.6	201.75
"PdomMRNA00467.1"	731.8	558.2	508.75
"PdomMRNA00468.1"	420.4	375.4	363
"PdomMRNA00469.1"	153.4	131.8	106.25
"PdomMRNA00470.1"	639.2	538	507.75
"PdomMRNA00471.1"	513.2	455.6	458
"PdomMRNA00472.1"	920	561.6	677.5
"PdomMRNA00473.1"	844	563.4	577.25
"PdomMRNA00474.1"	1530.8	1030.8	947.75
"PdomMRNA00475.1"	1320.8	816.6	893.75
"PdomMRNA00477.1"	8551.4	5668.6	5442.75
"PdomMRNA00478.1"	407	238.6	307.25
"PdomMRNA00479.1"	8494.6	5644.4	5105.25
"PdomMRNA00480.1"	893.4	618.6	582.5
"PdomMRNA00481.1"	330.4	206.6	270.25
"PdomMRNA00482.1"	1175.8	689.4	795.75
"PdomMRNA00483.1"	5866.2	2686.4	3231
"PdomMRNA00487.1"	2354.8	1759.8	1614.25
"PdomMRNA00488.1"	364.8	248.8	290.5
"PdomMRNA00489.1"	196.6	109	106.75
"PdomMRNA00490.1"	8350.4	5592.6	6121.25
"PdomMRNA00491.1"	801.2	953.8	907
"PdomMRNA00493.1"	2898.6	2291.8	2292.25
"PdomMRNA00494.1"	1696.4	1171.2	1308.75
"PdomMRNA00495.1"	2055.6	1365.2	1634.75
"PdomMRNA00496.1"	401	247.2	205.75
"PdomMRNA00497.1"	59	37	33.25
"PdomMRNA00498.1"	288.2	134.2	112.75
"PdomMRNA00500.1"	8354.2	4019.2	4824.5
"PdomMRNA00501.1"	1438.6	1116.2	1003
"PdomMRNA00502.1"	869.6	565.4	593.75
"PdomMRNA00503.1"	5056.8	3387.8	3332.5
"PdomMRNA00504.1"	857	233.6	372
"PdomMRNA00505.1"	3113.8	489.8	972.25
"PdomMRNA00506.1"	3837.8	3030.4	2873.5
"PdomMRNA00507.1"	383.8	281.2	314.25
"PdomMRNA00508.1"	2964.6	1520.2	1722
"PdomMRNA00509.1"	4273.4	3053	2921.5
"PdomMRNA00510.1"	26.4	333.4	84.5
"PdomMRNA00511.1"	573.8	470.6	383
"PdomMRNA00513.1"	828.6	641.6	579.75
"PdomMRNA00514.1"	1852.8	1498.4	1381.5
"PdomMRNA00515.1"	1326.8	1346.4	1160.5
"PdomMRNA00516.1"	140.6	98.4	150.25
"PdomMRNA00517.1"	2198.8	1514.6	1405.5
"PdomMRNA00518.1"	551	462.6	389.5
"PdomMRNA00519.1"	570.6	443.6	403.25
"PdomMRNA00520.1"	2945.2	2422.6	1962.25
"PdomMRNA00523.1"	1375.8	937.8	908.5
"PdomMRNA00524.1"	353.2	235.6	249.25
"PdomMRNA00525.1"	1974.6	1101.4	1384.5
"PdomMRNA00526.1"	239.2	160.8	179.5
"PdomMRNA00527.1"	3499.2	2673.2	2575.5
"PdomMRNA00528.1"	1921	1375.8	1450.25
"PdomMRNA00529.1"	1790.8	1269.6	1254
"PdomMRNA00530.1"	1613.6	1160	1236.5
"PdomMRNA00531.1"	1169.2	642.4	924.5
"PdomMRNA00532.1"	989.8	659	541.25
"PdomMRNA00533.1"	141.2	64	138.5
"PdomMRNA00534.1"	898.8	635.8	757.5
"PdomMRNA00535.1"	88.8	28.2	93.75
"PdomMRNA00536.1"	4703.8	3106.4	2835
"PdomMRNA00537.1"	81.4	25	36.75
"PdomMRNA00539.1"	862.4	646.2	735.25
"PdomMRNA00543.1"	3463.2	2275.6	2338
"PdomMRNA00544.1"	692.2	503.8	517
"PdomMRNA00545.1"	8679.2	4732.2	5251.5
"PdomMRNA00546.1"	1153.4	708	849.5
"PdomMRNA00548.1"	8957.4	6683.2	6543
"PdomMRNA00549.1"	1908.2	1250	1253.75
"PdomMRNA00550.1"	322.2	301.2	250.75
"PdomMRNA00552.1"	138140.4	90643.2	109721.5
"PdomMRNA00553.1"	7963.2	3444	4409.5
"PdomMRNA00554.1"	9548.6	5625.2	6249
"PdomMRNA00555.1"	1373.6	1116.4	922
"PdomMRNA00556.1"	732.6	602.8	580.75
"PdomMRNA00557.1"	366.8	287.2	285.75
"PdomMRNA00558.1"	2601	1983.8	1958.75
"PdomMRNA00559.1"	6993.6	6043	6429
"PdomMRNA00560.1"	1240.2	639.8	686
"PdomMRNA00561.1"	572.8	337.2	402.5
"PdomMRNA00562.1"	21489.2	13691.6	15163
"PdomMRNA00563.1"	2004.8	1039	1118.5
"PdomMRNA00564.1"	7033.6	6251.6	5994.5
"PdomMRNA00565.1"	1777.2	1000.8	977.5
"PdomMRNA00567.1"	2795	2857.6	2233.75
"PdomMRNA00568.1"	1705.4	1692	1276
"PdomMRNA00569.1"	157.8	113.2	100.75
"PdomMRNA00571.1"	2031.8	1124	1354
"PdomMRNA00572.1"	1650.4	805.8	1245
"PdomMRNA00573.1"	6802.6	4201.4	4566.5
"PdomMRNA00574.1"	3874.6	2822	8658.5
"PdomMRNA00575.1"	244	208.8	191.25
"PdomMRNA00577.1"	1119.4	840.6	736.5
"PdomMRNA00578.1"	89.2	61.8	69.25
"PdomMRNA00579.1"	509.8	380.2	392.75
"PdomMRNA00581.1"	541.4	341.6	354
"PdomMRNA00582.1"	30693	20803.6	21702
"PdomMRNA00583.1"	3560.6	2048.2	2088.5
"PdomMRNA00584.1"	486.4	250.4	316
"PdomMRNA00585.1"	1588.2	1303	1983.5
"PdomMRNA00586.1"	1418.8	864.8	902
"PdomMRNA00587.1"	2245.6	1551.6	1853
"PdomMRNA00588.1"	2892.4	1859.8	1917
"PdomMRNA00589.1"	7638	4543.8	5754.75
"PdomMRNA00590.1"	354.4	246.6	199.5
"PdomMRNA00591.1"	372.2	374	329.25
"PdomMRNA00592.1"	749.2	490.2	510.75
"PdomMRNA00593.1"	289.8	165.8	136.5
"PdomMRNA00594.1"	680.6	499.6	500
"PdomMRNA00595.1"	83.8	71.2	71.5
"PdomMRNA00597.1"	73.6	47.4	57
"PdomMRNA00600.1"	3713	2019.8	2234
"PdomMRNA00601.1"	109.4	82.2	56.75
"PdomMRNA00602.1"	760	468.6	445.25
"PdomMRNA00604.1"	2100.6	1374.4	1337.75
"PdomMRNA00605.1"	3434.2	1787.4	2758.75
"PdomMRNA00607.1"	250.4	189	180.25
"PdomMRNA00608.1"	49.6	35.4	37.25
"PdomMRNA00609.1"	1604.2	1080.4	1060.25
"PdomMRNA00610.1"	3712.8	2087.8	2577.5
"PdomMRNA00611.1"	742.2	579.6	476.5
"PdomMRNA00613.1"	4936	2415	2470.75
"PdomMRNA00615.1"	748.8	426.4	387
"PdomMRNA00620.1"	5400.6	3878.2	4048.25
"PdomMRNA00623.1"	817	590.2	588.75
"PdomMRNA00624.1"	4674.6	3534.6	3506
"PdomMRNA00626.1"	364.2	302	335.75
"PdomMRNA00627.1"	820.6	552.4	544
"PdomMRNA00628.1"	964	858.8	680
"PdomMRNA00629.1"	419.8	190.8	251.25
"PdomMRNA00631.1"	15423.8	11304	10334.25
"PdomMRNA00632.1"	1130.8	831.4	803.25
"PdomMRNA00634.1"	1076.2	893.4	755.5
"PdomMRNA00636.1"	38.8	44.6	28.25
"PdomMRNA00637.1"	94.2	35.8	41.75
"PdomMRNA00638.1"	262.4	255.2	208
"PdomMRNA00639.1"	28744	21155.8	23774.5
"PdomMRNA00640.1"	1750.2	1086.2	1110
"PdomMRNA00641.1"	971.8	907.2	808.75
"PdomMRNA00642.1"	2413.8	1714.4	1640.5
"PdomMRNA00643.1"	3895.2	2922.2	2492
"PdomMRNA00644.1"	114	265.2	212
"PdomMRNA00645.1"	3147.8	1645.2	1607
"PdomMRNA00646.1"	16382.8	12907.6	11142.25
"PdomMRNA00648.1"	660.8	436.6	433
"PdomMRNA00649.1"	43.4	78.2	50.25
"PdomMRNA00651.1"	341.4	240.2	178.75
"PdomMRNA00652.1"	282.8	170.6	188.75
"PdomMRNA00653.1"	904.4	586.6	522.5
"PdomMRNA00654.1"	808.6	605.4	575.75
"PdomMRNA00655.1"	233.4	181.6	131.5
"PdomMRNA00656.1"	46.6	73	48.5
"PdomMRNA00657.1"	1289	738.4	751.5
"PdomMRNA00658.1"	834	499.8	653.25
"PdomMRNA00659.1"	1741.4	1118.4	1230.5
"PdomMRNA00660.1"	5360.4	3279.4	3331.25
"PdomMRNA00661.1"	1579.6	993.4	1177
"PdomMRNA00662.1"	2328	1340	1496.75
"PdomMRNA00663.1"	214.4	201.2	189.25
"PdomMRNA00664.1"	92.4	52.2	78.5
"PdomMRNA00665.1"	129	65	137.75
"PdomMRNA00666.1"	170.8	109.8	90.5
"PdomMRNA00667.1"	2144	1656.2	1622.5
"PdomMRNA00668.1"	720.8	485.4	384
"PdomMRNA00669.1"	9136.4	6198.6	6371.5
"PdomMRNA00670.1"	144.6	103.8	113.75
"PdomMRNA00671.1"	798	466.6	407.25
"PdomMRNA00673.1"	2705	1899.2	1793
"PdomMRNA00674.1"	1203	1249.8	1108.75
"PdomMRNA00676.1"	7821	3958.6	4613.75
"PdomMRNA00676.2"	183.8	119.6	86
"PdomMRNA00680.1"	1624	888.8	1016
"PdomMRNA00681.1"	288	72.2	80.5
"PdomMRNA00682.1"	1357.4	784.8	748.75
"PdomMRNA00684.1"	190	134.4	90.5
"PdomMRNA00685.1"	1569.8	1204	1327.25
"PdomMRNA00686.1"	1881.8	1289	1235
"PdomMRNA00687.1"	5496.4	4421.6	4558.5
"PdomMRNA00689.1"	127.8	53.8	77
"PdomMRNA00690.1"	71.4	75.4	79.25
"PdomMRNA00691.1"	1677.8	971.4	885
"PdomMRNA00691.2"	176.2	109.2	108.5
"PdomMRNA00692.1"	1283	984.4	914
"PdomMRNA00693.1"	126.8	136.2	127.75
"PdomMRNA00698.1"	86	82.4	87.75
